"Sentence";"Word"
"But the latest twist of misfortune has prompted some unseemly delight from Eurosceptics. Look, they say, at the ghastly trap the European Union has sprung upon itself.";"trap"
"The country needs a new breed of entrepreneurs, he scolds, lest the Mittelstand firms that form its manufacturing backbone crack.";"lest"
"The country needs a new breed of entrepremeurs, he scolds, lest the Mittelstand firms that form its manufacturing backbone crack.";"breed"
"This is the system of government by consensus in which unions and firms co-operate in the management of companies, pay and conditions are set across whole industries by deals sturck between union and managerial representatives, and change is put into effe";"lurch"
"So, despite Mr Rexrodt�s bullishness about consensus, government plans to trim early-retirement pensions drew 50,000 workers on to the streets in the Ruhr this week.";"bullishness"
"Details were not forthcoming, but everyone agreed that the country�s rigid labour market would have to be made more flexible, Germany�s stunted service sector would be expanded and new enterprise would be spurred by tax breaks.";"stunted"
"The Front National chalked up a steady 10-15% of the vote over the past decade. It argues for ""national preference"", giving native French people jobs, housing and welfare ahead of immigrants.";"to chalk up"
"In November 1988 Business Week started publishing a ranking of business schools. It unearthed massive discontent, with students complaining that professors were not interested in anything other than research, and recruiters worrying that the schools produ";"to tamper with"
"But this time, in an historic turnabout, the right�s slick Ferrari skidded into the ditch - and the jalopy roared by, with the assorted passengers of the centre-left waving their Olive Tree symbol in delight.";"to roar"
"However, things are hazy at the top. It is hard to know in advance which crucial decisions a chief executive will face.";"hazy"
"Certainly, a bit of confusion about internal boundaries is not necessarily ominous. After all, where borders are not formed by natural features such as rivers, a finely drawn line on the map might translate into a swathe several kilometres wide on the gro";"swathe"
"Huge economic disparities between regions (China) add to the strains on the government�s cherished ideal of national unity. The coastal provinces in the east are growing much faster than areas in the centre and the west.";"strain (2)"
"In one example of thinly veiled local protectionism, the Shanghai municipal government earlier this year set new standards for cars that could be used as taxis.";"to veil"
"But this time, in an historic turnabout, the right�s slick Ferrari skidded into the ditch - and the jalopy roared by, with the assorted passengers of the centre-left waving their Olive Tree symbol in delight.";"ditch"
"The government�s efforts underscore the fact that, as in any country as large as China, far-flung regions are bound to have very different interests and identities. Though few in China would dare speculate aloud about it, there are some who believe such d";"far-flung"
"The government�s efforts underscore the fact that, as in any country as large as China, far-flung regions are bound to have very different interests and identities. Though few in China would dare speculate aloud about it, there are some who believe such d";"to underscore"
"The government�s efforts underscore the fact that, as in any country as large as China, far-flung regions are bound to have very different interests and identities. Though few in China would dare speculate aloud about it, there are some who believe such d";"aloud"
"The government�s efforts underscore the fact that, as in any country as large as China, far-flung regions are bound to have very different interests and identities. Though few in China would dare speculate aloud about it, there are some who believe such d";"to tug across, along, away etc"
"They reflect the long-standing policy of frequently rotating leaders at local levels of government in order to prevent any dangerous coalescence of regional identity and local authority. For the same reasons, senior officers in the seven military regions ";"coalescence"
"They reflect the long-standing policy of frequently rotating leaders at local levels of government in order to prevent any dangerous coalescence of regional identity and local authority. For the same reasons, senior officers in the seven military regions ";"to shuffle"
"On April 11th, China�s senior man for Hong Kong affairs, Lu Ping, came to town to preside over what was meant to be a slick show of pan-Chinese unity.";"slick"
"Moreover, the result, though close, is pretty unambiguous. In a country (Italy)  that has turned political fudge into an art, it is big news that there were, for the most part, clear winners and losers.";"fudge"
"Rumours gaining currency in Zurich (and at CS Holding) suggest that the talks were leaked by Mr Senn or one of his colleagues in the hope of scuppering a link-up. UBS denies this.";"link-up"
"The latest fillip for the dollar was the news that the United States had created more jobs than expected in March...While the prospect of higher rates spooked the bond and equity markets, it boosted the dollar, which rose to a 26-month high of Yen 108.70 ";"fillip"
"The latest fillip for the dollar was the news that the United States had created more jobs than expected in March...While the prospect of higher rates spooked the bond and equity markets, it boosted the dollar, which rose to a 26-month high of Yen 108.70 ";"to spook"
"It is rare for so many indicators to point at the same time in a currency�s favour. So why did the dollar�s rally stall early this year? One explanation is related to the fact that Japan�s economy is recovering more strongly than many had expected.";"to stall"
"It is rare for so many indicators to point at the same time in a currency�s favour. So why did the dollar�s rally stall early this year? One explanation is related to the fact that Japan�s economy is recovering more strongly than many had expected.";"rally (1)"
"All of this will tend to limit the greenback�s room for appreciation. So those who lap up dollars now should beware: they may later come down to earth with a bump.";"greenback"
"One of the least amusing examples of English wit is called ""How to Explain Cricket to a Foreigner"".";"wit"
"Since the Bretton Woods system of fixed exchange rates was abandoned in the early 1970s, the banking industry seems to have jumped from one drama to another, including the Latin American debt crisis and, more recently, a property-related lending binge tha";"chunk"
"This aside, a revamped ERM could create other difficulties. Paul de Grauwe, an economist at Belgium�s University of Louvain, argues that outs with poor reputations in financial markets - such as Italy, Spain and Sweden- would have to pay a premium on thei";"to revamp"
"Because membership of EMU requires budget deficits of less than 3% of GDP, the strictures of a new ERM would make it harder for the outs to eventually get in.";"stricture"
"The two banks admitted holding talks after a report in a Swiss newspaper on April 9th that CS Holding was trying to coax UBS into a merger.";"to coax"
"A deal is also likely to be scrutinised closely by the country�s competition authorities, because the merged bank would account for half of most domestic loan markets. But the biggest hurdle may be UBS itself, which seems lukewarm about a merger.";"hurdle"
"To make such ""tournament"" schemes work, a firm must dangle fat carrots in front of managers at each stage of the competition. Thus, a board may want to pay the chief executive a wad of cash not just to encourage him to work hard, but to encourage his subo";"wad"
"Rumours gaining currency in Zurich (and at CS Holding) suggest that the talks were leaked by Mr Senn or one of his colleagues in the hope of scuppering a link-up. UBS denies this.";"to scupper"
"Given the difficult climb to the top of a large firm, and the fierce competition for good leaders among the world�s biggest firms, it is not surprising that many company bosses are paid enormous sums. Far more befuddling, however, is the composition of th";"to befuddle"
"Whatever the case, UBS is right to be wary of its suitor. After all, when CS holding took over Swiss Volksbank in 1993, it overlooked some glaring stains on the bank�s books. If CS Holding could mess up a small takeover, how will it cope with a gigantic m";"stain"
"Whatever the case, UBS is right to be wary of its suitor. After all, when CS holding took over Swiss Volksbank in 1993, it overlooked some glaring stains on the bank�s books. If CS Holding could mess up a small takeover, how will it cope with a gigantic m";"suitor"
"It was no ordinary bunch of opposition stroppies who ambushed the government�s Asylum and Immigration bill in the House of Lords last week. The Duke of Norfolk and Lord Carpenter were among the Tories who emasculated one of its clauses.";"stroppy**"
"Like catastrophe theory, another of that decade�s crazes, fractals strutted and fretted their hour upon the stage and then were heard no more. They are now making a comeback, as a combination of better mathematics and faster computers puts them in reach o";"to strut (about)"
"Fractals have also started to earn their keep in more humble industries than the movies. Making springs, for example, is beset by a recurrent problem. Since spring makers have no reliable way of telling whether a particular batch of wire will make a good ";"spring"
"Fractals have also started to earn their keep in more humble industries than the movies. Making springs, for example, is beset by a recurrent problem. Since spring makers have no reliable way of telling whether a particular batch of wire will make a good ";"to coil"
"Fractals have also started to earn their keep in more humble industries than the movies. Making springs, for example, is beset by a recurrent problem. Since spring makers have no reliable way of telling whether a particular batch of wire will make a good ";"to beset"
"It was no ordinary bunch of opposition stroppies who ambushed the government�s Asylum and Immigration bill in the House of Lords last week. The Duke of Norfolk and Lord Carpenter were among the Tories who emasculated one of its clauses.";"to emasculate"
"Giving the boss of such a firm even an apparently trifling 0.1% stake would award him $10m of illiquid, undiversified wealth. He might rely too heavily on derivatives to hedge risks that are better left alone.";"trifling"
"Hence the demand by many pay gurus to give company bosses bigger stakes in their firms. It is argued that this will encourage them to act in the interests of investors. 
Although this sounds simple, it bumps into the question of risk.";"to bump into"
"People who do not approve of the legislature will not be allowed a part in selecting the first chief executive. This week Martin Lee, the Democratic Party�s leader and an odds-on candidate for  future martyrdom, flew to Washington to drum up American supp";"to drum up"
"A deal is also likely to be scrutinised closely by the country�s competition authorities, because the merged bank would account for half of most domestic loan markets. But the biggest hurdle may be UBS itself, which seems lukewarm about a merger.";"lukewarm"
"A lot of the suspicions that surround intensive-farming techniques boil down to a distrust of technology in general. For example, many consumers take fright if they learn that their food has been irradiated with gamma rays, or that their beef has been rea";"to scoff at"
"Student representatives invited to the consultation were kicked out for displaying T-shirts emblazoned with the slogan ""Raping public opinion"". China�s official news agency chose not to report the rumpus.";"to emblazon"
"When interest rates rose sharply in 1989, puncturing the bubble, borrowers began to default in droves and banks in many countries were quickly submerged by bad debts.";"drove"
"Im December Kyosuke Shinozawa, Japan�s top finance official, stepped down to atone for past mistakes. There has even been talk of stripping Japan�s most powerful ministry of some of its regulatory responsabilities.";"to strip"
"Take two cows. One is a marvel of high-tech farming. It lolls in the straw in a giant shed at a farm-research centre outside London. Once a year it has antibiotics inserted up its teats.";"to loll"
"Take two cows. One is a marvel of high-tech farming. It lolls in the straw in a giant shed at a farm-research centre outside London. Once a year it has antibiotics inserted up its teats.";"shed"
"Take two cows. One is a marvel of high-tech farming. It lolls in the straw in a giant shed at a farm-research centre outside London. Once a year it has antibiotics inserted up its teats.";"teat"
"The other cow, nonchalantly chewing the cud on an organic farm in Oxfordshire, is surrounded by a circle of admirers. This cow was sired by a live bull, not a pipette.";"to chew the cud"
"The other cow, nonchalantly chewing the cud on an organic farm in Oxfordshire, is surrounded by a circle of admirers. This cow was sired by a live bull, not a pipette.";"to sire"
"In the 1970s, when world food prices last reached a peak, many pundits argued that mass starvation was imminent because the world�s population was growing so fast.";"pundit"
"Im December Kyosuke Shinozawa, Japan�s top finance official, stepped down to atone for past mistakes. There has even been talk of stripping Japan�s most powerful ministry of some of its regulatory responsabilities.";"to atone for"
"They failed to take account of the ""green revolution"" in farm productivity. Farmers throughout the world began to apply pesticides and fertilisers to their crops. Irrigation allowed barren lands to bloom. Scientists devised more productive strains of cere";"barren"
"When it comes to banking, however, politicians everywhere seem especially reluctant to let the industry�s flagships fail.
Why? One reason is that governments fear the political backlash that the failure of a big bank would cause.";"backlash"
"They failed to take account of the ""green revolution"" in farm productivity. Farmers throughout the world began to apply pesticides and fertilisers to their crops. Irrigation allowed barren lands to bloom. Scientists devised more productive strains of cere";"strain (1)"
"When it comes to banking, however, politicians everywhere seem especially reluctant to let the industry�s flagships fail.
Why? One reason is that governments fear the political backlash that the failure of a big bank would cause.";"flagship"
"In France, a parliamentary report on the Cr�dit Lyonnais affair scolded watchdogs for allowing the bank�s problems to grow. And in Japan, the country�s finance ministry, which oversees banks, has also been castigated for letting them get out of control.";"to castigate"
"In France, a parliamentary report on the Cr�dit Lyonnais affair scolded watchdogs for allowing the bank�s problems to grow. And in Japan, the country�s finance ministry, which oversees banks, has also been castigated for letting them get out of control.";"to scold"
"A lot of the suspicions that surround intensive-farming techniques boil down to a distrust of technology in general. For example, many consumers take fright if they learn that their food has been irradiated with gamma rays, or that their beef has been rea";"to take fright"
"The French are still waiting to see whether they will have to pay even more for the rescue of Cr�dit Lyonnais, which last year spun off FF 135 billion-worth of its dud assets into a new company whose losses will be covered by the state.";"dud*"
"The European Union, for example, bans the use of growth hormones, ostensibly to maintain ""consumer confidence"" in beef. American farmers- who are allowed to use such hormones- say this is a ploy to keep their beef out of the European market.";"ploy*"
"The French are still waiting to see whether they will have to pay even more for the rescue of Cr�dit Lyonnais, which last year spun off FF 135 billion-worth of its dud assets into a new company whose losses will be covered by the state.";"to spin off"
"Fertilisers and herbicides are often washed off the land into rivers and reservoirs. Fertilisers contain nutrients such as nitrates and phosphates which encourage algae to multiply. Algal slime sometimes chokes waterways, killing plants and fish.";"slime"
"Fertilisers and herbicides are often washed off the land into rivers and reservoirs. Fertilisers contain nutrients such as nitrates and phosphates which encourage algae to multiply. Algal slime sometimes chokes waterways, killing plants and fish.";"to choke"
"Elsewhere, the huge amount of water needed for irrigation has led to worries about scarcity, and even to fears of future wars over water. In parts of southern India, water tables are estimated to have fallen by as much as 25-30 metres in a decade.";"water table"
"Governments in many rich countries are trying harder to enforce regulations on the run-off of fertilisers from farms.";"run-off"
"Since the Bretton Woods system of fixed exchange rates was abandoned in the early 1970s, the banking industry seems to have jumped from one drama to another, including the Latin American debt crisis and, more recently, a property-related lending binge tha";"binge**"
"They failed to take account of the ""green revolution"" in farm productivity. Farmers throughout the world began to apply pesticides and fertilisers to their crops. Irrigation allowed barren lands to bloom. Scientists devised more productive strains of cere";"to bloom"
"Yet Hoare may not remain aloof from the fray forever. Its position as a corporate broker depends on pre-emptive rights, a system for raising equity that many British companies want to scrap because it  obliges them to give existing shareholders first crac";"aloof"
"All of this will tend to limit the greenback�s room for appreciation. So those who lap up dollars now should beware: they may later come down to earth with a bump.";"bump"
"People who do not approve of the legislature will not be allowed a part in selecting the first chief executive. This week Martin Lee, the Democratic Party�s leader and an odds-on candidate for  future martyrdom, flew to Washington to drum up American supp";"odds-on"
"In banking as in other businesses, the hope behind such acquisitions is to mate the size of an elephant with the cunning of a fox. But such couplings are hard to pull off. What follows is the story of Hoare Govett, a City stockbroker bagged by ABN Amro, t";"to pull off"
"In banking as in other businesses, the hope behind such acquisitions is to mate the size of an elephant with the cunning of a fox. But such couplings are hard to pull off. What follows is the story of Hoare Govett, a City stockbroker bagged by ABN Amro, t";"to mate"
"In banking as in other businesses, the hope behind such acquisitions is to mate the size of an elephant with the cunning of a fox. But such couplings are hard to pull off. What follows is the story of Hoare Govett, a City stockbroker bagged by ABN Amro, t";"cunning (1)"
"In banking as in other businesses, the hope behind such acquisitions is to mate the size of an elephant with the cunning of a fox. But such couplings are hard to pull off. What follows is the story of Hoare Govett, a City stockbroker bagged by ABN Amro, t";"to bag"
"In recent years a herd of powerful ""universal"" banks from the European mainland has trampled into the jungle that is the City of London, hunting for the slick investment-banking skills they lack at home.";"to trample"
"But this time, in an historic turnabout, the right�s slick Ferrari skidded into the ditch - and the jalopy roared by, with the assorted passengers of the centre-left waving their Olive Tree symbol in delight.";"to skid"
"The Italian left�s oldest, wildest dream: of zooming past the centre and right in a general election. In the republic�s bumpy first half-century, the parties of the left have never managed to keep their jalopy on the road for long enough to make that drea";"jalopy"
"The Italian left�s oldest, wildest dream: of zooming past the centre and right in a general election. In the republic�s bumpy first half-century, the parties of the left have never managed to keep their jalopy on the road for long enough to make that drea";"bumpy"
"In recent years a herd of powerful ""universal"" banks from the European mainland has trampled into the jungle that is the City of London, hunting for the slick investment-banking skills they lack at home.";"slick"
"When interest rates rose sharply in 1989, puncturing the bubble, borrowers began to default in droves and banks in many countries were quickly submerged by bad debts.";"to puncture"
"Yet Hoare may not remain aloof from the fray forever. Its position as a corporate broker depends on pre-emptive rights, a system for raising equity that many British companies want to scrap because it  obliges them to give existing shareholders first crac";"fray"
"Student representatives invited to the consultation were kicked out for displaying T-shirts emblazoned with the slogan ""Raping public opinion"". China�s official news agency chose not to report the rumpus.";"rumpus*"
"Yet Hoare may not remain aloof from the fray forever. Its position as a corporate broker depends on pre-emptive rights, a system for raising equity that many British companies want to scrap because it  obliges them to give existing shareholders first crac";"to scrap"
"Yet Hoare may not remain aloof from the fray forever. Its position as a corporate broker depends on pre-emptive rights, a system for raising equity that many British companies want to scrap because it  obliges them to give existing shareholders first crac";"crack"
"Leading the drive to restructure the Bank is James Wolfensohn, who took over as its president last June after a sparkling career building up his own successful Wall Street investment house.";"sparkling"
"It (bank�s failure) can also have a potentially devastating effect on the real economy. As banks struggle to stay afloat, they will call in their outstanding loans and refuse to make new ones, creating a credit crunch that can aggravate an economic downtu";"afloat"
"That the World Bank needs to transform itself is undeniable. The world in which it operates has changed radically.";"undeniable"
"Its (the World Bank) history is peppered with radical, and badly executed, overhauls. The most recent, and most damaging, took place in 1987, when the entire staff was sacked and then hired again from the top down. It is tempting to write off the current ";"to pepper with"
"Its (the World Bank) history is peppered with radical, and badly executed, overhauls. The most recent, and most damaging, took place in 1987, when the entire staff was sacked and then hired again from the top down. It is tempting to write off the current ";"overhaul"
"Its (the World Bank) history is peppered with radical, and badly executed, overhauls. The most recent, and most damaging, took place in 1987, when the entire staff was sacked and then hired again from the top down. It is tempting to write off the current ";"to write off"
"Whatever the cause, once a system wide panic has begun, it is devilishly difficult to stop.";"devilishly"
"The prospect of a financial meltdown is such a serious worry because its impact is likely to be felt on Main Street as well as Wall Street.";"meltdown"
"Finding a way through this quagmire of disparate and vested interests will take energy, determination and farsightedness. Mr Wolfensohn�s efforts so far show that he certainly has the first two qualities. What is still missing is the vision.";"quagmire"
"When, for example, the London-based research team developped common standards for the group�s reports world-wide, Amsterdam just nodded the changes through.";"to nod"
"Ford�s claim to be different rests partly on the view that technology is ushering in a new sort of globalisation.";"to usher in"
"Reformers have set interest rates free, abolished many credit ceilings and compulsory credit allocations, reduced reserve requirements and granted new banking licences. Bankers have been unshackled from financing budget deficits.";"to unshackle"
"In Mexico, where the banks were privatised at high premiums in 1991-92, their subsequent lending orgy included, at one point, touting credit cards to people in shopping malls.";"to tout"
"In Mexico, where the banks were privatised at high premiums in 1991-92, their subsequent lending orgy included, at one point, touting credit cards to people in shopping malls.";"shopping mall"
"On the same day, Robert Johnson, district attorney (DA) for New York city�s crime-ridden Bronx, irked the governor by saying that he would not call for the death penalty under any circumstances. Mr Johnson�s resolve was put to the test this month when, in";"to irk"
"On the same day, Robert Johnson, district attorney (DA) for New York city�s crime-ridden Bronx, irked the governor by saying that he would not call for the death penalty under any circumstances. Mr Johnson�s resolve was put to the test this month when, in";"resolve"
"The 30 ships on order throughout the industry will increase cruising capacity by 40 % by 1998. Some analysts suspect that even the big companies will be stretched to fill all those extra berths.";"berth"
"But Mr Pataki (Governor of New-York) did not wait for the distict attorney (DA) to wrestle with his conscience; in an unprecedented move, he simply took Mr Johnson off the case.";"to wrestle with"
"In theory, Mr Johnson (DA) should have had 120 days after the indictment of the suspect in the case, Angel Diaz, in which to decide whether to seek the death penalty.";"indictment"
"Mr Johnson remains adamant that, in general, the death penalty makes no sense. He believes that juries are often reluctant to impose it; that it is a costly and complex process; and that it is not a deterrent.";"adamant"
"Worse, by installing the vociferously pro-death-penalty Mr Vacco as the DA�s replacement, Mr Pataki (Governor of N-Y) may have paved the way for a successful appeal by Mr Diaz if he is sentenced to death.";"to pave the way (for)"
"Two years ago Ford Motor Company decided to tear up its management structure, abolish its regional companies and turn itself into a global company that made global cars.";"to tear up"
"Full-scale globalisation, however, remains a difficult trick to pull off. In theory, the arguments for dividing a firm up on the basis of products rather than countries seem overwhelming.";"to pull off"
"Students now offer consultancy to other parts of the university and to local businesses. They also study fluffy things like leadership, to the chagrin of many academics but the delight of businessmen.";"fluffy"
"Even those companies that are most lauded as ""global"" tend to tread carefully. Coca-Cola may have a global soft drink, but it uses different bottlers around the world- and even different formulas.";"to tread carefully"
"Mexico, inevitably, was where it started. As investors fretted over assassinations and uprisings, the government had two big weaknesses that prevented it from following correctly tight policies in 1994. There was an presidential election to win....";"to fret"
"Ford is using a dazzling array of computer networks and video links to allow people around the world to work together on the same car. Such gizmos, argues Mr Trotman, will not only increase productivity by introducing something like a 24-hour day for part";"gizmo**"
"The cruise industry�s godfather is Ted Arison, a cruise executive with a passion about making the business less stuffy, who set up Carnival Cruise Lines in 1972.";"stuffy"
"The hope was that Ford could use economies of scale to offset the development and engineering costs associated with powertrains; the discussion focused on how to bring these changes in without upsetting national chieftains.";"chieftain"
"The hope was that Ford could use economies of scale to offset the development and engineering costs associated with powertrains (engines+gearboxes+axles); the discussion focused on how to bring these changes in without upsetting national chieftains.";"to bring in"
"And the aim was not just to cut costs and increase efficiency, but to produce cars that would surprise and delight the punters.";"punter"
"The world cruise industry has broadened its appeal to younger, less wealthy people, giving them an experience more akin to a floating Las Vegas hotel than the traditional mix of deck quoits and dinner at the captain�s table.";"quoit"
"At the end of 1994, the British firm�s flagship, Queen Elizabeth II, put to sea before she was shipshape, and Cunard had to pay $11.7 m to soothe the feelings of irritated passengers.";"shipshape"
"At the end of 1994, the British firm�s flagship, Queen Elizabeth II, put to sea before she was shipshape, and Cunard had to pay $11.7 m to soothe the feelings of irritated passengers.";"to soothe"
"A government white paper that was to have proposed extra bank freedoms was delayed, in late March, by wrangling over two issues. Banks had expected to be granted the right to sell insurance through their 6,000-odd branches. The banks pay heavy taxes: in 1";"to shell out"
"Irving Clayton, a Canadian poet, observed that his countrymen are right to consider America hell; but only because Canada itself is limbo. Bankers from both countries might agree. America�s exasperated banks wonder whether their creaky regulatory system w";"creaky"
"Irving Clayton, a Canadian poet, observed that his countrymen are right to consider America hell; but only because Canada itself is limbo. Bankers from both countries might agree. America�s exasperated banks wonder whether their creaky regulatory system w";"limbo"
"The European Union�s 15 finance ministers, meeting from April 12th in the Italian town of Verona, are likely to be flummoxed by the same two prepositions.";"to flummox"
"Up to now, many large firms have turned their noses up at technology which was not the product of their own laboratories. Competitive pressures have forced them to look to smaller firms which can often deliver new technology more quickly and cheaply.";"to turn up one�s nose (at)"
"But in practice (globalisation), things can easily go wrong...
And global products are often tacky things built to suit the lowest common denominator.";"tacky"
"As a result of these weaknesses, any loss of confidence has tended to develop into a fully-fledged crisis rather than a bout of manageable volatility. That has given Latin America its tendency towards boom and bust.";"bust"
"Meanwhile, officials discussed the possibility of ""undue influence"" on some voters by domineering husbands or mothers overseeing the vote around the kitchen table.";"domineering"
"A mere 12 months have passed since Mexico was basking in international acclaim. At the ""Summit of the Americas"" in early December 1994, the Mexican miracle was lauded as a paradigm of successful economic reform and an example to the rest of the region.";"to bask in sb�s favour"
"A mere 12 months have passed since Mexico was basking in international acclaim. At the ""Summit of the Americas"" in early December 1994, the Mexican miracle was lauded as a paradigm of successful economic reform and an example to the rest of the region.";"to laud"
"Although the memories of such disasters (techno-flops) linger on, Britain�s science-and -technology base is actually in fine shape.";"to linger on"
"On December 2th, plummeting foreign-exchange reserves forced the newly elected president of Mexico, Ernesto Zedillo, to devalue the peso. The badly handled devaluation created panic among investors. Money poured out of the country; wihtin a month, the mir";"to teeter on the edge"
"Several ingredients seemed novel (Mexican crisis): the speed with which capital fled the country as investors cut their losses and ran; the knock-on ""tequila effect"" that rippled through all emerging markets, sent shock waves through much of Latin America";"tidal wave"
"Several ingredients seemed novel (Mexican crisis): the speed with which capital fled the country as investors cut their losses and ran; the knock-on ""tequila effect"" that rippled through all emerging markets, sent shock waves through much of Latin America";"to ripple"
"Several ingredients seemed novel (Mexican crisis): the speed with which capital fled the country as investors cut their losses and ran; the knock-on ""tequila effect"" that rippled through all emerging markets, sent shock waves through much of Latin America";"knock-on effect"
"Some of the causes of this volatility lie outside Latin America�s control. Rich in natural resources, the region is particularly vulnerable to commodity-price fluctuations. As a capital importer, it has always been sensitive to changes in foreign interest";"fickleness"
"Combine such short-termism with the state-directed model of development that most of Latin America adopted after the 1930s depression, and you have a particularly pernicious mixture: too much economic meddling by governments that are too unstable. Unpredi";"to meddle"
"Combine such short-termism with the state-directed model of development that most of Latin America adopted after the 1930s depression, and you have a particularly pernicious mixture: too much economic meddling by governments that are too unstable. Unpredi";"lurch"
"Like catastrophe theory, another of that decade�s crazes, fractals strutted and fretted their hour upon the stage and then were heard no more. They are now making a comeback, as a combination of better mathematics and faster computers puts them in reach o";"to fret"
"Combine such short-termism with the state-directed model of development that most of Latin America adopted after the 1930s depression, and you have a particularly pernicious mixture: too much economic meddling by governments that are too unstable. Unpredi";"bedrock"
"Freed from the scourge of inflation, Latin Americans were going on a consumption binge, buying consumer durables that they had long hankered after. Short-termism still prevailed, after all, even if it was not only governments that were to blame.";"to hanker after/for"
"In a sense all these events were turning-points. Although is has had spectacular setbacks -notably in 1982- Chile�s market revolution has been going the longest and is easily the most advanced.";"setback"
"Investors seem to be getting better at assessing the potential of such companies. Not long ago, bad news about one technology-based firm would cause a rout in all technology stocks.";"rout"
"By early 1995 there were over 150 dedicated Latin America funds. And as emerging markets boomed, mainstream pension and mutual funds joined the fray.";"to enter the fray"
"Foreigners, too, have flocked to the region. Companies that saw big potential in newly restructuring economies increased their foreign direct investment. Almost $70 billion of FDI poured into Latin America between 1990 and 1994.";"to flock"
"India�s software industry, which barely existed ten years ago, notched up sales of more thant $1.2 billion last year and is growing at over 40% a year. Unlike other Indian industries, it is highly competitive internationally.";"to notch up"
"The combination of all these factors produced some impressive results. Rich Latin Americans who had stashed their savings abroad to protect them from inflation and unpredictable governments began to bring them back. Exact numbers are inevitably hard to co";"mind-boggling*"
"Corruption is rife. Long-term planning is almost impossible. And profligate government has helped to produce Latin America�s other great economic scourge: inflation. The region easily wins prizes for price instability.";"profligate"
"The combination of all these factors produced some impressive results. Rich Latin Americans who had stashed their savings abroad to protect them from inflation and unpredictable governments began to bring them back. Exact numbers are inevitably hard to co";"to stash*"
"Corruption is rife. Long-term planning is almost impossible. And profligate government has helped to produce Latin America�s other great economic scourge: inflation. The region easily wins prizes for price instability.";"scourge"
"As the process of genuine economic reform establishes itself, Latin America�s diversity is increasing. Indeed, the common thread that makes permissible large generalisations about Latin America is one of the past more than the future.";"thread"
"The latest fillip for the dollar was the news that the United States had created more jobs than expected in March...While the prospect of higher rates spooked the bond and equity markets, it boosted the dollar, which rose to a 26-month high of Yen 108.70 ";"fillip"
"Fractals have also started to earn their keep in more humble industries than the movies. Making springs, for example, is beset by a recurrent problem. Since spring makers have no reliable way of telling whether a particular batch of wire will make a good ";"keep"
"As a result of these weaknesses, any loss of confidence has tended to develop into a fully-fledged crisis rather than a bout of manageable volatility. That has given Latin America its tendency towards boom and bust.
he�s now a fully-fledged doctor/archit";"fully-fledged"
"As a result of these weaknesses, any loss of confidence has tended to develop into a fully-fledged crisis rather than a bout of manageable volatility. That has given Latin America its tendency towards boom and bust.";"bout"
"Freed from the scourge of inflation, Latin Americans were going on a consumption binge, buying consumer durables that they had long hankered after. Short-termism still prevailed, after all, even if it was not only governments that were to blame.";"to go on a binge**"
"The combination of all these factors produced some impressive results. Rich Latin Americans who had stashed their savings abroad to protect them from inflation and unpredictable governments began to bring them back. Exact numbers are inevitably hard to co";"to come by"
"- Here, too, measurement issues (growth in productivity) play a role. Productivity�s performance has been most lacklustre in services, where it is difficult to measure and where quality improvements are easily understated.
- Last summer, Chase Manhattan,";"lacklustre"
"When Marks and Spencer�s shops are shut, the company lets local authorities use its CCV (closed-circuit television) systems to monitor the streets around its premises.";"premises"
"Also helping to improve the quality and prospects of Britain�s high-tech newcomers is a growing informal network....
The hub of this network is Cambridge, where a steady stream of new ventures, ranging from genetics to electronics, is flowing out of univ";"hub"
"Although there was a bit of a stink in December over the sale of a video of CCTV (closed-circuit television system) footage - which included a couple having sex in a lift - the British seem distinctly unworried by the implications for civil liberties of t";"stink"
"This is not the first time the government had gone out on a limb over an issue, but it is exremely rare for a step of this magnitude to be taken by the government alone.";"to go out on a limb"
"Although there was a bit of a stink in December over the sale of a video of CCTV (closed-circuit television system) footage - which included a couple having sex in a lift - the British seem distinctly unworried by the implications for civil liberties of t";"footage"
"Michael Howard, the home secretary, is a great believer in CCTV�s efficacy; eight chief constables have come out fulsomely in its favour, supporting the idea of  more investment in it.";"constable"
"Michael Howard, the home secretary, is a great believer in CCTV�s efficacy; eight chief constables have come out fulsomely in its favour, supporting the idea of  more investment in it.";"fulsome"
"Odder still, a survey in the London borough of Sutton carried out last year by South Bank University found that, a year after the introduction of CCTV, crime had dropped by 13% in the area covered by cameras - and by 30% in the rest of the borough.";"borough"
"Steve Forbes, the billionaire presidential candidate in whose train Mr Kemp danced for a while, was fond of touting the example of booming Hong Kong as evidence of the beneficial effects of a flat tax.";"to tout"
"Policy-makers in both parties also look longingly at East Asia�s high savings rates and its dauntingly well-educated workforce.";"longingly"
"It was a particularly nasty crime. On Easter Day a 74-year-old man who had lost his way in Leeds stopped to ask directions, was dragged from his car, was beaten and died of a heart attack.";"to drag"
"They reckon that the American economy cannot consistently grow faster than about 2.5% a year without igniting inflation. As the economy approaches capacity constraints, so the Federal Reserve will need to reduce monetary growth, which in turn must slow ex";"to ignite"
"Britain�s domestic consumers of electricity are entitled to feel aggrieved. At present, prices vary widely.";"aggrieved"
"Slower growth is not the only economic worry of Americans: they also fret about the growing gap between rich and poor and the security of their jobs.";"to fret about"
"Mr Gerrity has divided both his students and his professors into teams of six: each student team includes at least two non-Americans; each faculty team includes professors from different academic disciplines. Both are evaluated as teams. Mr Gerrity has al";"to tear down"
